2025-03-02 15:14:47,821 INFO    Thread-107 (_run_job):1891871 [wandb_setup.py:_flush():67] Current SDK version is 0.19.7
2025-03-02 15:14:47,822 INFO    Thread-107 (_run_job):1891871 [wandb_setup.py:_flush():67] Configure stats pid to 1891871
2025-03-02 15:14:47,822 INFO    Thread-107 (_run_job):1891871 [wandb_setup.py:_flush():67] Loading settings from /speech/utkarsh/.config/wandb/settings
2025-03-02 15:14:47,822 INFO    Thread-107 (_run_job):1891871 [wandb_setup.py:_flush():67] Loading settings from /speech/utkarsh/da6401_assignment1/wandb/settings
2025-03-02 15:14:47,822 INFO    Thread-107 (_run_job):1891871 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-03-02 15:14:47,822 INFO    Thread-107 (_run_job):1891871 [wandb_init.py:setup_run_log_directory():647] Logging user logs to /speech/utkarsh/da6401_assignment1/wandb/run-20250302_151447-myodbrc3/logs/debug.log
2025-03-02 15:14:47,822 INFO    Thread-107 (_run_job):1891871 [wandb_init.py:setup_run_log_directory():648] Logging internal logs to /speech/utkarsh/da6401_assignment1/wandb/run-20250302_151447-myodbrc3/logs/debug-internal.log
2025-03-02 15:14:47,822 INFO    Thread-107 (_run_job):1891871 [wandb_init.py:init():761] calling init triggers
2025-03-02 15:14:47,822 INFO    Thread-107 (_run_job):1891871 [wandb_init.py:init():766] wandb.init called with sweep_config: {'activation': 'relu', 'batch_size': 64, 'epochs': 10, 'hidden_layer_size': 32, 'hidden_layers_count': 4, 'learning_rate': 0.0001, 'optimizer': 'nadam', 'weight_decay': 0, 'weight_init': 'xavier'}
config: {'_wandb': {}}
2025-03-02 15:14:47,822 INFO    Thread-107 (_run_job):1891871 [wandb_init.py:init():784] starting backend
2025-03-02 15:14:47,822 INFO    Thread-107 (_run_job):1891871 [wandb_init.py:init():788] sending inform_init request
2025-03-02 15:14:47,824 INFO    Thread-107 (_run_job):1891871 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2025-03-02 15:14:47,825 INFO    Thread-107 (_run_job):1891871 [wandb_init.py:init():803] backend started and connected
2025-03-02 15:14:47,826 INFO    Thread-107 (_run_job):1891871 [wandb_run.py:_config_callback():1261] config_cb None None {'activation': 'relu', 'batch_size': 64, 'epochs': 10, 'hidden_layer_size': 32, 'hidden_layers_count': 4, 'learning_rate': 0.0001, 'optimizer': 'nadam', 'weight_decay': 0, 'weight_init': 'xavier'}
2025-03-02 15:14:47,829 INFO    Thread-107 (_run_job):1891871 [wandb_init.py:init():896] updated telemetry
2025-03-02 15:14:47,837 INFO    Thread-107 (_run_job):1891871 [wandb_init.py:init():920] communicating run to backend with 90.0 second timeout
2025-03-02 15:14:48,247 INFO    Thread-107 (_run_job):1891871 [wandb_init.py:init():995] starting run threads in backend
2025-03-02 15:14:48,339 INFO    Thread-107 (_run_job):1891871 [wandb_run.py:_console_start():2377] atexit reg
2025-03-02 15:14:48,339 INFO    Thread-107 (_run_job):1891871 [wandb_run.py:_redirect():2227] redirect: wrap_raw
2025-03-02 15:14:48,339 INFO    Thread-107 (_run_job):1891871 [wandb_run.py:_redirect():2292] Wrapping output streams.
2025-03-02 15:14:48,339 INFO    Thread-107 (_run_job):1891871 [wandb_run.py:_redirect():2317] Redirects installed.
2025-03-02 15:14:48,340 INFO    Thread-107 (_run_job):1891871 [wandb_init.py:init():1037] run started, returning control to user process
2025-03-02 15:15:04,123 INFO    Thread-107 (_run_job):1891871 [wandb_run.py:_finish():2112] finishing run da24s011-indian-institute-of-technology-madras/fashion-mnist-hyperparameter-sweep/myodbrc3
2025-03-02 15:15:04,123 INFO    Thread-107 (_run_job):1891871 [wandb_run.py:_atexit_cleanup():2342] got exitcode: 0
2025-03-02 15:15:04,124 INFO    Thread-107 (_run_job):1891871 [wandb_run.py:_restore():2324] restore
2025-03-02 15:15:04,124 INFO    Thread-107 (_run_job):1891871 [wandb_run.py:_restore():2330] restore done
2025-03-02 15:15:06,442 INFO    MsgRouterThr:1891871 [mailbox.py:close():115] Closing mailbox, abandoning 1 handles.
2025-03-02 15:15:06,443 INFO    Thread-107 (_run_job):1891871 [wandb_run.py:_footer_history_summary_info():3958] rendering history
2025-03-02 15:15:06,444 INFO    Thread-107 (_run_job):1891871 [wandb_run.py:_footer_history_summary_info():3990] rendering summary
2025-03-02 15:15:06,444 INFO    Thread-107 (_run_job):1891871 [wandb_run.py:_footer_sync_info():3919] logging synced files
